RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven Adams,Okc,C,26.28,4,27.3,56.8,16.7,11.6,14,0.286,32,0.313,0,0,0.313,0.314,6,11.8,22.1,1.5,8,0.5,0.75,1.25,6.9,81.2,88.8
,Bam Adebayo,Mia,C-F,22.29,4,31.7,66.1,19.6,20.9,37,0.73,31,0.581,2,0,0.545,0.639,15.8,10.8,18.5,4.8,22.2,1.25,1.75,3.25,11.8,119.6,90.8
,LaMarcus Aldridge,San,F-C,34.28,3,34,70.9,25,12.5,16,0.813,44,0.477,5,0.6,0.52,0.571,21.3,8,12,2.3,10,0.67,2.67,2.67,8.6,112.1,102.6
,Nickeil Alexander-Walker,Nor,G,21.16,4,15.7,32.7,24.4,10.3,2,0.5,16,0.313,18,0.278,0.368,0.373,6.5,2.5,7.9,4.3,35.4,0.75,0,1,10.5,91.6,109
,Grayson Allen,Mem,G,24.06,4,18.6,38.6,22.6,14.2,10,0.8,15,0.333,17,0.235,0.344,0.412,7.5,2.3,6.1,1.8,13.9,0.5,0,1.5,6.8,81.2,104.7
,Jarrett Allen,Bro,C,21.53,3,29.7,61.9,11.6,15.7,8,0.5,18,0.556,0,0,0.556,0.558,8,11,19.9,1.3,6.2,0.67,1.67,1.33,6.5,116.1,99.8
,Al-Farouq Aminu,Orl,F,29.11,3,23.8,49.5,9.9,12,6,0.5,8,0.25,4,0.5,0.417,0.444,4.3,5.3,10.9,1,6.2,1.67,0.67,0.67,4.8,100.1,89.8
,Kyle Anderson,Mem,F-G,26.11,4,20.4,42.5,12.3,7.8,8,0.625,18,0.556,2,0.5,0.575,0.595,7,5,12.3,2,14.7,1,0.75,0.5,8.1,122.9,103.3
,Giannis Antetokounmpo,Mil,F,24.9,3,31.3,65.3,34.5,16.6,28,0.536,41,0.634,12,0.167,0.547,0.559,24.3,13.3,20.5,9,47.2,1.33,1.67,4.33,18.2,109.1,88.6
,Kostas Antetokounmpo,Lal,F,21.94,2,1.4,2.9,0,,0,0,0,0,0,0,,,0,0.5,19,0,0,0,0,0,0,,
,OG Anunoby,Tor,F,22.29,4,34.3,71.5,13.1,9.2,1,0,23,0.609,16,0.438,0.628,0.621,12.3,7.3,10,1,4.8,1.5,2.25,1,5.2,116.4,90.3
,Ryan Arcidiacono,Chi,G,25.6,4,14.8,30.9,7.2,9.6,1,1,4,0.5,5,0.8,0.889,0.9,4.3,2.8,9,1.8,16.8,0.5,0,0.25,7.5,173,105.1
,Trevor Ariza,Sac,F,34.33,4,22.2,46.3,8.9,10.6,2,1,5,0.2,11,0.364,0.438,0.474,4,3.5,8.6,1,6.8,0.75,0,0.5,4.3,100.4,109.8
,D.J. Augustin,Orl,G,31.97,3,24.6,51.3,20,5.7,9,0.778,23,0.435,6,0.333,0.448,0.501,11,2.7,5.2,3.3,23.6,0.33,0,0.67,7.5,108.8,100.9
,Deandre Ayton,Pho,C,21.27,1,33.4,69.6,17.9,0,0,0,14,0.643,0,0,0.643,0.643,18,11,17.6,0,0,1,4,0,0,128.8,94.5
,Dwayne Bacon,Cha,G-F,24.17,4,28.2,58.8,24,9.3,13,0.615,37,0.405,16,0.25,0.396,0.426,12.5,4.8,9,2,11.3,0.5,0,1.5,7,88,107.9
,Marvin Bagley III,Sac,F,20.63,1,27.7,57.7,28.3,5.3,4,0.5,16,0.375,0,0,0.375,0.394,14,10,19.8,0,0,1,1,1,0,86.7,109.8
,Lonzo Ball,Nor,G,22.01,4,31.2,65,17.2,9.2,8,0.75,16,0.438,30,0.367,0.511,0.535,13.3,4.8,7.6,7.3,29.8,1.75,0,1.25,9.9,119.7,114
,Mo Bamba,Orl,C,21.47,3,13.5,28.2,17.7,11.8,0,0,9,0.444,6,0.333,0.467,0.467,4.7,4.7,16.7,0.7,8.4,0.33,0.33,0.67,7.4,90.3,87.3
,Harrison Barnes,Sac,F,27.42,4,29.5,61.4,16,8.9,7,0.714,28,0.536,10,0.3,0.513,0.536,11,5.5,10.2,0.8,4.5,0.75,0,1,4.9,105.4,112.5
,RJ Barrett,Nyk,F-G,19.38,4,37.4,77.8,24.2,15.6,25,0.44,50,0.5,15,0.467,0.546,0.539,20.5,7.5,10.2,3.3,15.2,2,0.25,3.5,8.5,101.6,102.9
,Will Barton,Den,G,28.81,4,29.5,61.5,20.7,8.7,19,0.842,30,0.367,14,0.429,0.455,0.535,14,6.3,10.8,1.5,8.3,1.25,1,1.25,6.9,112.7,103.4
,Nicolas Batum,Cha,G-F,30.87,1,11.2,23.3,7.5,100,0,0,0,0,0,0,,,0,4,19.2,2,22.4,0,0,2,0,,97.9
,Aron Baynes,Pho,C-F,32.89,4,20.8,43.3,18.4,14,11,0.727,15,0.667,11,0.545,0.731,0.746,11.5,5,12.8,2,15.6,0,0.5,1.25,9.4,134.2,79.1
,Kent Bazemore,Por,G-F,30.33,4,25.7,53.4,16.2,15,7,0.714,20,0.4,11,0.182,0.355,0.396,6.8,4.5,9.1,1.8,8.9,1.25,1.25,1.5,5.9,80.4,93
,Darius Bazley,Okc,F-G,19.38,4,18.1,37.7,10.4,33.6,2,0.5,6,0.5,5,0.4,0.545,0.547,3.3,4,11.4,0.8,5.8,0.25,0.25,1.5,4.8,76.1,95.1
,Bradley Beal,Was,G,26.34,3,34.9,72.7,33.9,9.3,14,0.714,42,0.357,30,0.233,0.354,0.39,20.3,5.7,8.3,7.7,34.1,1.33,0.67,2.67,11,87.2,97.5
,Malik Beasley,Den,G,22.92,4,19,39.6,20.4,11,3,1,15,0.467,16,0.438,0.565,0.588,9.5,1.8,4.7,1,9.2,1.25,0.25,1,5.4,110.2,96.1
,Marco Belinelli,San,G,33.6,3,15.8,32.8,14.6,11.5,3,0.333,7,0.571,7,0.143,0.393,0.392,4,0.7,2.2,2,15.5,0,0,0.67,4.5,87.5,106.4
,Jordan Bell,Min,F,24.81,1,4.9,10.2,16.2,0,0,0,2,1,0,0,1,1,4,5,54.1,0,0,0,0,0,0,203.1,74.3
,DeAndre' Bembry,Atl,G-F,25.32,4,24.2,50.3,14,6.3,6,0.333,23,0.609,4,0.25,0.574,0.557,8.3,3.5,7.8,2.5,15.5,1.25,0,0.5,6.9,116.8,100.8
,Davis Bertans,Was,F,26.96,3,29.6,61.6,15.1,9.2,6,0.833,7,0.571,20,0.5,0.704,0.725,14.3,3,5.2,1,4.9,0.67,0.33,1,4.7,127.6,99.6
,Patrick Beverley,Lac,G,31.3,4,30.1,62.8,13.7,23.2,4,0.5,9,0.667,19,0.158,0.375,0.386,5.8,6.5,12.2,3.5,14.1,2.25,0.25,2.25,6.8,85.5,96.3
,Goga Bitadze,Ind,C-F,20.28,1,4.4,9.2,9.9,0,0,0,1,1,0,0,1,1,2,1,12.9,0,0,0,0,0,0,200,88.6
,Bismack Biyombo,Cha,C,27.17,3,13.1,27.4,17,18.8,9,0.444,9,0.778,0,0,0.778,0.694,6,2.7,10.9,2,24.6,0,0.33,1,9.7,124.1,104.4
,Nemanja Bjelica,Sac,F,31.47,4,25.1,52.2,13.7,15.2,2,1,13,0.385,14,0.5,0.574,0.592,8.3,5,10.9,1.8,11.8,1,0.75,1.25,6.7,113.1,107.1
,Eric Bledsoe,Mil,G,29.89,3,25.2,52.6,24.8,11,10,0.7,26,0.423,10,0.2,0.389,0.433,11.7,4,7.6,4,21.6,0.67,0,1.67,9.1,92.4,97.3
,Bojan Bogdanovic,Uta,F,30.53,3,28.5,59.4,29.8,10.6,13,1,23,0.609,22,0.455,0.644,0.7,23.7,4,7.9,1,7.8,1.33,0.33,2,6.4,120.5,84.1
,Bogdan Bogdanovic,Sac,G,27.2,4,23.6,49.1,21.3,8.3,9,0.667,21,0.238,19,0.316,0.35,0.387,8.5,2.5,5.8,3.3,23.1,1,0,1,7,88.1,107
,Isaac Bonga,Was,G,19.98,3,24.3,50.6,8.9,6.3,4,0.5,10,0.7,3,0.333,0.654,0.644,6.3,5,10.5,2.7,14.7,1.33,0.33,0.33,7.2,136.7,87.2
,Devin Booker,Pho,G,23,4,35.3,73.5,28.9,14.7,17,0.824,53,0.528,21,0.333,0.52,0.558,22.8,4,6,6.3,31.7,0.5,0.5,3.5,9.4,103.8,90.6
,Chris Boucher,Tor,F-C,26.8,2,4.5,9.4,17.4,26.6,4,1,0,0,1,0,0,0.725,2,1.5,15.8,0,0,0,1,0.5,0,124.7,87.9
,Ky Bowman,Gol,G,22.37,3,7.9,16.5,18.4,8.7,1,1,9,0.222,1,0,0.2,0.239,1.7,0,0,0.3,5.6,0,0,0.33,0,56.1,121.7
,Avery Bradley,Lal,G,28.93,4,25.3,52.7,16,13.1,5,0.6,18,0.611,13,0.308,0.548,0.557,9.3,3,6.3,0.3,1.4,1.25,0.25,1.25,3.2,95,91.1
,Tony Bradley,Uta,C-F,21.72,2,5.1,10.6,23.4,18.8,3,0.667,3,1,0,0,1,0.926,4,2,22,0,0,0,0,0.5,0,134.7,81
,Jarrell Brantley,Uta,F,23.39,1,4.7,9.8,0,,0,0,0,0,0,0,,,0,3,35.8,1,29.2,0,1,0,0,,85.5
,Miles Bridges,Cha,F,21.61,4,33.1,68.9,18,15.8,11,0.818,24,0.542,19,0.368,0.547,0.585,14,4.5,7.3,2.5,11.7,0.25,0.75,2.25,6.5,107.7,116.4
,Mikal Bridges,Pho,F,23.16,4,19.2,40,8.5,6.6,5,0.6,6,0.667,6,0.167,0.458,0.493,3.5,3,8.3,0.5,3.5,1,0,0.25,3.6,100.3,93.9
,Malcolm Brogdon,Ind,G,26.88,3,35,73,25,8.3,17,0.941,32,0.469,16,0.438,0.531,0.604,22.3,4.3,7,10.7,49.3,1,0.67,1.67,11.5,130.2,108
,Dillon Brooks,Mem,G-F,23.77,4,27,56.3,17.3,10.6,3,1,25,0.36,16,0.438,0.476,0.496,10.5,3.3,6,2,11.3,1.25,0.5,1.25,6.1,95,96.2
,Bruce Brown,Det,G-F,23.21,4,22.1,46,15.2,32.5,4,0.5,13,0.462,6,0.5,0.553,0.554,5.8,3.5,9.3,1,6.5,0.25,0,2.5,4.9,77.5,98
,Jaylen Brown,Bos,F-G,23.01,3,28.7,59.7,22.9,8.1,12,0.667,26,0.615,14,0.286,0.55,0.574,17.3,6.7,10.9,2,12,0.67,1,1.33,8.6,112.8,89.8
,Sterling Brown,Mil,G-F,24.72,2,3,6.1,21.1,0,0,0,2,0.5,1,0,0.333,0.333,1,1,16.3,0,0,0,0,0,0,,
,Jalen Brunson,Dal,G,23.16,4,23.8,49.5,19.7,9,12,0.5,21,0.476,14,0.286,0.457,0.472,9.5,4.5,9.7,3.8,23.3,0.5,0,1,9.2,106.1,105.7
,Thomas Bryant,Was,C-F,22.25,3,30.9,64.3,20.7,15,8,0.875,23,0.565,13,0.308,0.528,0.569,15,9.7,15.9,2,9.7,0.67,1.67,2.33,8.6,107.2,102
,Deonte Burton,Okc,G-F,25.75,3,4.2,8.8,13.4,50,0,0,0,0,2,0.5,0.75,0.75,1,0.3,4.1,0,0,0.33,0,0.67,0,63.5,84.6
,Bruno Caboclo,Mem,F,24.11,2,6.6,13.8,23.9,12.5,0,0,4,0.25,3,0,0.143,0.143,1,2.5,18.9,0,0,0,0.5,0.5,0,42.3,98.3
,Kentavious Caldwell-Pope,Lal,G,26.7,4,23.8,49.6,14.3,9.3,3,0.667,19,0.421,9,0.222,0.393,0.409,6,3,6.7,2.3,13,0.75,0.25,0.75,5.8,90,89.3
,Clint Capela,Hou,C,25.45,3,28.5,59.4,19,16.9,10,0.5,30,0.633,0,0,0.633,0.625,14.3,8.3,14.6,1,6.1,1,2.67,2.33,6.9,104.8,94.1
,Wendell Carter Jr.,Chi,C-F,20.54,4,26.9,56.1,18.4,8.2,15,0.733,34,0.588,4,0,0.526,0.572,12.8,9.3,16.7,0.5,3,0.75,1.25,1,5.8,118.8,93
,Jevon Carter,Pho,G,24.13,4,23.8,49.5,17.4,20.6,4,1,9,0.333,20,0.5,0.621,0.65,10,2.5,5.6,3.3,20.4,1.25,0.25,2,7.3,108.1,89.9
,Vince Carter,Atl,G-F,42.76,4,12.8,26.6,16.7,10,0,0,5,1,13,0.077,0.361,0.361,3.3,1.5,6.4,0.8,8.3,0.5,0,0.5,4.9,73,105.1
,Michael Carter-Williams,Orl,G,28.06,3,14.8,30.9,13.3,21.4,0,0,7,0.286,4,0.25,0.318,0.318,2.3,3,9.8,1,10.1,1.33,0.33,1,5.1,69.6,83.4
,Alex Caruso,Lal,G,25.67,3,15.5,32.3,13.6,33.3,0,0,6,0.333,4,0.25,0.35,0.35,2.3,1.7,5.7,1.7,14,1.67,0.67,1.67,4.9,61.4,89.4
,Tyson Chandler,Hou,C,37.08,3,6.7,13.9,16.6,11.8,1,0,7,0.857,0,0,0.857,0.806,4,2.3,17.4,0,0,0.33,0,0.33,0,132.5,83.4
,Chris Chiozza,Was,G,23.94,2,17.4,36.1,14.2,25,0,0,5,0,4,0.5,0.333,0.333,3,2,5.9,3.5,25.3,1,1,1.5,6.3,76.2,87.9
,Marquese Chriss,Gol,F,22.33,3,15.4,32.1,17.5,18.8,12,0.833,11,0.545,1,0,0.5,0.637,7.3,3.3,11.5,1.3,12.3,1.67,0,1.33,8.2,119.1,95
,Brandon Clarke,Mem,F-G,23.11,4,23.2,48.3,16.7,5.1,3,1,31,0.581,5,0.2,0.542,0.563,10.5,5,10.8,1,7.2,0.75,1.5,0.5,6.5,113.1,102.8
,Jordan Clarkson,Cle,G,27.39,3,20.4,42.5,28.7,9.7,10,0.9,19,0.474,14,0.286,0.455,0.521,13,1.3,3.4,1.7,13.5,1.33,0,1.33,6,104.2,105.8
,John Collins,Atl,F,22.1,4,32,66.6,20.6,8.1,15,0.667,36,0.583,14,0.5,0.63,0.645,18.3,9.3,15.7,1.8,9.1,1,1.75,1.25,8.4,123.7,92.3
,Zach Collins,Por,F-C,21.95,3,28.8,60,13.2,21.7,6,1,12,0.5,7,0.429,0.553,0.624,9,4,7.2,2,9.1,0,0.67,2,5.8,111.2,102.2
,Mike Conley,Uta,G,32.05,4,25.6,53.3,26.9,18,12,0.833,25,0.24,20,0.15,0.233,0.308,7.8,2.3,4.9,4.3,25.9,0.5,0.25,2.75,6.7,67.7,84.6
,Pat Connaughton,Mil,G,26.81,3,16.9,35.3,15,0,1,1,6,0.667,12,0.5,0.722,0.732,9,3.3,9.5,2.3,19.4,0,0.33,0,9.7,149.2,101
,Quinn Cook,Lal,G,26.61,4,21.1,43.9,18.1,11.1,0,0,19,0.474,13,0.231,0.422,0.422,6.8,2,5.1,3.5,24.1,0.25,0,1,6.9,93.7,101.1
,Tyler Cook,Cle,F,22.1,2,1.3,2.7,32.6,0,0,0,2,0.5,0,0,0.5,0.5,1,0.5,19.9,0,0,0.5,0,0,0,,
,Robert Covington,Min,F,28.88,3,26.2,54.5,19,13.2,4,0.75,13,0.615,18,0.278,0.5,0.519,11.3,7.7,15.5,1.3,7.3,1,0,1.67,7.4,102.9,91.7
,Torrey Craig,Den,F,28.86,4,17.1,35.6,13.1,9.5,0,0,11,0.364,8,0.25,0.368,0.368,3.5,5,14.9,0.8,6.6,0.25,2,0.5,5.6,87.5,91.8
,Jae Crowder,Mem,F,29.32,4,31.5,65.6,15,12.5,9,0.778,8,0.625,30,0.267,0.447,0.489,10.3,6.5,10.3,2.8,12.5,0.5,0.5,1.5,7.3,98.4,109.3
,Jarrett Culver,Min,G-F,20.69,3,14.1,29.3,13.5,20.8,1,0,6,0.5,5,0,0.273,0.262,2,1.3,5,0.7,6,0.67,0,1,3.5,59.5,100.1
,Seth Curry,Dal,G,29.19,4,21.8,45.3,16.4,8.9,4,1,12,0.583,17,0.412,0.603,0.634,9.8,1.8,4.1,1.5,10.4,1,0.25,0.75,5.5,120.9,104.8
,Stephen Curry,Gol,G,31.63,3,30.3,63.1,30.6,15.1,16,1,25,0.64,30,0.267,0.509,0.58,24,5,8.7,6.7,38.6,1.33,0,3.67,12.3,114.3,112.3
,Troy Daniels,Lal,G,28.29,4,17.5,36.4,19.3,9.4,2,1,5,0.8,23,0.304,0.518,0.537,7.8,1.5,4.6,0.5,4.2,0.5,0,0.75,4.1,98.7,100.8
,Anthony Davis,Lal,F-C,26.64,4,33.2,69.1,34.7,10.1,54,0.889,63,0.46,11,0.273,0.453,0.588,28.8,12.5,20.1,3,15.3,1,3,2.75,12.4,119.6,88.1
,Ed Davis,Uta,F,30.4,4,12.7,26.5,10.4,34,4,0.5,6,0.333,0,0,0.333,0.387,1.5,5.3,23.2,0,0,0.25,0.5,1,0,79.6,68.9
,Terence Davis,Tor,G,22.46,4,9.1,19,15.7,7.3,4,1,5,0.2,6,0.333,0.364,0.47,3,2.5,13,1,16.1,0.5,0.25,0.25,8.6,110.9,80.1
,Dewayne Dedmon,Sac,C,30.22,4,20,41.7,21.8,33.5,4,1,15,0.467,11,0.182,0.385,0.432,6,5.8,15.8,0.3,2.1,0.5,0.75,3.5,4.4,67.4,95.5
,Matthew Dellavedova,Cle,G,29.14,3,19.4,40.5,14.1,15.5,3,0.667,5,0.8,10,0,0.267,0.306,3.3,1.3,3.6,3,20.6,1,0,1,4.8,79.2,94
,DeMar DeRozan,San,F,30.23,3,33.8,70.5,27.7,14.2,24,0.75,49,0.49,1,0,0.48,0.545,22,5,7.5,2.3,10,1.33,0.67,3.33,7.5,101.2,102.5
,Cheick Diallo,Pho,F-C,23.13,2,2.1,4.4,19.1,53.2,2,1,0,0,0,0,,1.136,1,0,0,0,0,0,0,0.5,0,,
,Hamidou Diallo,Okc,G,21.25,4,17.9,37.2,25.9,20.5,9,0.556,25,0.56,6,0.167,0.5,0.515,9,3.8,10.8,0.3,2.4,0.75,0.25,2.25,4.9,88.6,84.9
,Gorgui Dieng,Min,C,29.78,1,6.3,13.1,25.1,25,0,0,1,1,2,0,0.333,0.333,2,2,16.8,0,0,0,0,1,0,50.7,104.5
,Spencer Dinwiddie,Bro,G,26.57,3,25,52.2,29.9,14.4,22,0.773,21,0.429,17,0.294,0.434,0.524,16.7,2.7,5.7,5,30.7,0.33,0.67,2.67,9.7,107.8,97.6
,Donte DiVincenzo,Mil,G,22.75,1,2.2,4.6,18.8,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,,
,Luka Doncic,Dal,G-F,20.67,4,35.4,73.6,30.9,16.5,32,0.75,37,0.622,35,0.286,0.528,0.581,25,8.8,12.6,6.8,32.4,2.25,0,4.25,12.9,109.1,99.8
,Damyean Dotson,Nyk,G,25.49,1,3.6,7.5,11.2,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,0,0,,
,Goran Dragic,Mia,G,33.49,4,29.2,60.8,24.9,15.1,31,0.677,21,0.571,27,0.407,0.594,0.633,19.5,4.3,7.9,4.5,24.9,0.5,0.5,2.75,9.9,116.6,95.8
,Andre Drummond,Det,C,26.22,4,35.1,73.2,25.4,17.1,29,0.621,53,0.623,2,0,0.6,0.62,21,16.3,27.1,1.5,7.5,1.75,2.25,3.5,9.1,111.3,91.9
,Jared Dudley,Lal,F,34.31,4,8.1,16.9,3.9,0,0,0,1,0,2,1,1,1,1.5,0.5,3.3,0.3,4,0.25,0,0,3,193,88
,Kris Dunn,Chi,G,25.62,4,21.6,45.1,14.9,6.3,6,0.5,20,0.45,7,0,0.333,0.354,5.3,2.5,5.6,2,13.2,2.25,0.5,0.5,5.5,82.5,96.5
,Carsen Edwards,Bos,G,21.64,2,16.9,35.1,21,0,4,0.75,7,0.286,9,0.222,0.313,0.366,6.5,1,2.8,1.5,12.8,1,0,0,5.1,94.6,102.6
,Wayne Ellington,Nyk,G,31.92,3,15.3,31.9,17.5,20,0,0,1,1,15,0.4,0.625,0.625,6.7,1.7,5.5,1,10.3,0,0.33,1.33,5.9,104,113.8
,Joel Embiid,Phi,C-F,25.62,2,28,58.3,34.1,14.6,18,0.778,23,0.609,10,0.3,0.561,0.623,25.5,13,24.8,4,28.5,1.5,2,3.5,15.7,117.6,78.6
,James Ennis III,Phi,F,29.33,3,12.3,25.6,17.9,18.2,8,0.75,5,0.6,5,0.2,0.45,0.555,5,4,17.3,0.7,7.8,0,0,1,7.8,105.6,86
,Jacob Evans,Gol,G-F,22.37,3,14.4,30,13,6.8,4,1,4,0.25,8,0.5,0.583,0.654,6,1.7,6.1,0.7,6.5,0,0,0.33,5.3,133.8,119.8
,Tacko Fall,Bos,C,23.89,1,3.6,7.5,55.4,20,0,0,4,0.5,0,0,0.5,0.5,4,3,39.2,0,0,0,0,1,0,,
,Derrick Favors,Nor,F,28.29,3,20.3,42.2,18.1,25,0,0,20,0.65,1,0,0.619,0.619,8.7,6.3,15.5,2,13.9,0.33,0.33,2.33,9.4,103.9,104.6
,Terrance Ferguson,Okc,G,21.46,4,23.6,49.2,7.5,23.7,2,1,4,0.5,8,0.375,0.542,0.582,3.8,2.5,5.4,1.5,8.7,0.5,0.25,1,4.1,109.3,92.8
,Bruno Fernando,Atl,F-C,21.21,4,12.7,26.5,19.1,13.2,4,0.25,13,0.692,5,0.4,0.667,0.633,6.3,3.8,16,1.5,19.5,0.25,0.75,0.75,10.4,121.7,92.5
,Yogi Ferrell,Sac,G,26.48,3,6.3,13.1,28.4,7.8,4,0.75,6,0.5,4,0.25,0.45,0.51,4,0.7,5.8,1,31.9,0.33,0,0.33,8.9,108.2,115.2
,Dorian Finney-Smith,Dal,F,26.49,4,26.6,55.3,13.6,8.8,14,0.643,13,0.538,12,0.333,0.52,0.562,8.8,6,11.5,0.8,3.9,0.5,0.25,0.75,5.2,119.8,104.7
,Bryn Forbes,San,G,26.27,3,31.2,65,18.3,7,7,1,16,0.5,21,0.429,0.581,0.624,16.7,5.3,8.7,1.3,5.8,0,0,1,6.2,124.5,104.6
,Evan Fournier,Orl,G-F,27,3,28.9,60.2,28.4,12,12,0.75,29,0.621,17,0.235,0.522,0.556,19,3.3,5.6,2.7,19.1,0.67,0.33,2.33,7.7,102.2,94.1
,De'Aaron Fox,Sac,G,21.86,4,29.3,60.9,27.3,18.3,26,0.692,33,0.394,18,0.389,0.461,0.52,16.3,2.8,5.2,6,37.8,0.5,0,3.5,8.9,99.9,107.9
,Tim Frazier,Det,G,29,4,13.6,28.4,18.2,17.7,6,0.833,9,0.222,7,0.286,0.313,0.402,3.8,1,4.3,3.3,32.7,0.5,0,1,6.8,96.6,93.8
,Markelle Fultz,Orl,G,21.42,3,24.8,51.7,23.2,14.7,2,1,21,0.619,13,0.231,0.515,0.53,12.3,1.7,3.3,4.7,36.1,0.67,0,2,7.4,103.4,93
,Wenyen Gabriel,Sac,F,22.6,3,8.4,17.5,22.1,15,3,0.667,5,0.4,5,0.2,0.35,0.398,3,1.3,8.7,1,20,0.33,0,0.67,7.5,86.9,108.4
,Daniel Gafford,Chi,F-C,21.08,1,2.1,4.4,0,,0,0,0,0,0,0,,,0,1,23.1,0,0,0,0,0,0,,
,Danilo Gallinari,Okc,F,31.23,4,28.7,59.7,24,9.2,19,1,27,0.519,24,0.417,0.569,0.649,19.3,4.5,8.1,1.8,10.7,0.5,0.25,1.5,7.5,124.6,97.2
,Langston Galloway,Det,G,27.89,4,22,45.8,16.6,12,10,0.8,13,0.308,12,0.333,0.4,0.476,7,2.8,7.3,1.3,8,0.75,0.5,1,5.4,95.3,106.7
,Darius Garland,Cle,G,19.76,3,28,58.3,20.7,22,0,0,18,0.389,14,0.357,0.453,0.453,9.7,1.3,2.5,3.7,19.4,0.67,0,3,5.1,84.7,104.8
,Marc Gasol,Tor,C,34.75,4,26.6,55.3,13,15.1,5,0.8,14,0.214,12,0.333,0.346,0.39,5.5,7.3,13,2,10.8,0,0.25,1.25,6.5,88.7,87.2
,Rudy Gay,San,F-G,33.2,3,22.4,46.7,19,18.8,9,0.889,12,0.75,10,0.1,0.477,0.559,9.7,6.3,14.4,2.7,15.4,0.67,1,2,9.8,108.7,100.4
,Taj Gibson,Nyk,F,34.35,4,10.2,21.3,12.7,23.3,2,1,6,0.333,3,0,0.222,0.304,1.5,2.3,11.2,0.8,10,0.25,0,0.75,5.5,72.4,103.3
,Shai Gilgeous-Alexander,Okc,G-F,21.3,4,34.6,72.1,27.6,6.6,22,0.682,53,0.528,22,0.364,0.533,0.561,23.8,6.8,10,3.3,18,0.75,1.25,1.5,9.4,114,96.4
,Rudy Gobert,Uta,C,27.34,4,32.7,68.2,15.1,36.3,16,0.75,21,0.571,0,0,0.571,0.642,9,11.8,20.2,1.5,7.2,1,0.75,4,6.6,90.6,79.6
,Aaron Gordon,Orl,F,24.12,3,29.7,61.8,15.4,15.4,8,0.75,18,0.333,6,0.167,0.313,0.382,7,4.7,7.6,3.7,18.8,1.33,1,1.67,6.7,86.7,93
,Eric Gordon,Hou,G,30.84,3,33.5,69.7,17.8,2.2,3,0.667,15,0.467,28,0.214,0.372,0.384,11.3,1.3,2,1,4.5,0.67,0,0.33,2.9,81.8,107.5
,Devonte' Graham,Cha,G,24.69,4,28.7,59.7,22.9,12.8,15,0.867,20,0.3,28,0.536,0.594,0.641,17.5,2.5,4.7,7.3,41.2,0,0.25,2,9.5,129.2,115
,Treveon Graham,Min,G-F,26.01,3,25.8,53.8,14.5,3.5,3,1,18,0.333,8,0.25,0.346,0.384,7,3.3,6.8,2,10.2,1,0,0.33,5.6,98.4,103.2
,Jerami Grant,Den,F,25.64,4,23.3,48.5,17.4,13.2,9,0.778,13,0.462,16,0.25,0.414,0.47,7.8,3.3,7.1,1.3,8.3,0.25,0,1.25,5.5,96.5,99.7
,Danny Green,Lal,G,32.36,4,26.5,55.2,16.5,4.8,3,0.667,14,0.429,24,0.5,0.632,0.636,12.5,3.8,7.6,1,5.7,1.5,0.5,0.5,5.5,123.9,89.3
,Draymond Green,Gol,F,29.66,3,28.8,59.9,15.7,14.1,8,0.875,20,0.6,7,0.286,0.556,0.606,12.3,8.7,15.9,5,25.9,1.67,0,1.67,11.3,122.6,110.8
,JaMychal Green,Lac,F-C,29.36,4,18.2,38,15.1,7.8,4,0.75,5,0.4,17,0.588,0.773,0.779,9.3,3,9.3,0.3,1.9,0.25,0,0.5,4.5,140.7,93.5
,Javonte Green,Bos,G-F,26.27,2,1.9,3.9,9.5,0,2,0,0,0,0,0,,0,0,0.5,12.7,0.5,33.3,0,0,0,0,,
,Jeff Green,Uta,F,33.17,4,18,37.6,18.3,17,10,0.5,10,0.2,10,0.6,0.55,0.553,6.8,2.3,7,0.8,6.7,0.25,0.25,1.25,5.2,91.7,84.7
