RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Jabari Parker,Atl,F,24.63,4,21.3,44.4,22.9,17.5,4,0.75,24,0.583,12,0.417,0.597,0.609,11.5,2.8,7,0.8,5.9,0.5,0.25,2,5.5,97.9,97.6
,Eric Paschall,Gol,F,22.98,3,24.9,51.9,15.4,13.2,5,0.8,22,0.636,2,0,0.583,0.611,10.7,3,6.4,2.3,14.5,0.67,0,1.33,6.7,117.7,120.4
,Patrick Patterson,Lac,F,30.63,4,25,52.1,12.3,6.9,2,0.5,7,0.286,19,0.474,0.596,0.595,8,4,9.1,1.3,6.4,0.25,0.25,0.5,5.5,118,105.6
,Justin Patton,Okc,C,22.38,1,6.4,13.3,19.8,33.3,0,0,1,0,1,0,0,0,0,2,16,0,0,0,0,1,0,0,51
,Chris Paul,Okc,G,34.49,4,28.3,58.9,22.6,19.8,13,0.615,25,0.36,18,0.5,0.523,0.544,13.3,4.3,7.7,3.3,18.5,1,0,3,8.1,96.3,92.7
,Elfrid Payton,Nyk,G,25.69,4,25.4,52.9,15.3,18.1,6,0.833,21,0.286,8,0.625,0.466,0.506,8,3,6,3.8,21.8,2.5,0,1.75,7.1,104.1,102.6
,Mason Plumlee,Den,F-C,29.66,4,16.3,33.9,13.7,4.8,11,0.545,15,0.6,0,0,0.6,0.605,6,5,15.7,3,29.8,0.25,0.5,0.25,11,143.9,96.4
,Jakob Poeltl,San,C,24.04,3,14.3,29.9,14.2,13.1,3,0.667,12,0.5,0,0,0.5,0.526,4.7,4.3,15.4,2,17.8,0,1.67,0.67,9.6,122.7,101.6
,Vincent Poirier,Bos,C-F,26.01,1,5.9,12.3,20.3,33.3,0,0,2,0.5,0,0,0.5,0.5,2,0,0,0,0,0,0,1,0,62,75.7
,Jordan Poole,Gol,G,20.36,3,23.6,49.1,20.6,10.5,5,1,15,0.133,17,0.294,0.297,0.351,8,1.7,3.7,1,5.8,1.33,0,1.33,4,75.2,112.5
,Kevin Porter Jr.,Cle,G-F,19.49,3,18,37.5,18,13.1,2,1,13,0.308,6,0,0.211,0.252,3.3,1.7,4.8,1.3,9.9,0.33,1,1,4.3,62.2,94.9
,Otto Porter Jr.,Chi,F,26.41,4,25.3,52.7,15.9,5.1,8,0.875,15,0.333,19,0.211,0.324,0.386,7.3,3,5.8,0.5,2.8,1,0.25,0.5,3.5,86.5,105.8
,Bobby Portis,Nyk,F,24.72,4,25,52.1,17.9,11.2,8,0.75,25,0.56,11,0.364,0.556,0.582,11.5,7.8,15.8,2,13.2,0.75,0.75,1.25,9,118,99.4
,Kristaps Porzingis,Dal,F-C,24.25,4,31.4,65.4,30.5,10,26,0.731,40,0.5,30,0.333,0.5,0.546,22.3,7.8,12.6,3.3,17.7,0.25,2.5,2.25,10.6,107.2,100.3
,Norman Powell,Tor,G,26.43,4,24.4,50.9,16.1,26.5,4,1,10,0.5,16,0.188,0.365,0.414,5.8,4.8,9.2,1.8,10.5,0.75,0,2.5,6,72.8,92.4
,Taurean Prince,Bro,F,25.61,3,34.9,72.6,16.8,16.1,8,0.625,14,0.429,19,0.368,0.5,0.52,12.7,7.7,11.8,1.3,5.4,0.67,0.67,2.33,5.8,96.6,105.1
,Julius Randle,Nyk,C-F,24.92,4,34.2,71.1,25.5,21.9,22,0.591,48,0.479,10,0.1,0.422,0.458,15.5,11.5,17.2,4.5,21.6,1,0,4.75,10.9,90.5,100.8
,Cameron Reddish,Atl,F-G,20.16,4,24.3,50.6,18.8,21,4,0.75,18,0.389,14,0,0.219,0.252,4.3,4.3,9.5,1.8,9.6,1.75,0,2.25,5.3,54.9,97.5
,JJ Redick,Nor,G,35.35,4,25.5,53.1,20.2,23,5,0.8,10,0.2,28,0.357,0.447,0.473,9.5,1.3,2.4,1.8,8.5,0,0.5,3,4.4,79.1,119.1
,Josh Richardson,Phi,G,26.12,3,33.7,70.1,20.1,15.7,11,1,25,0.48,13,0.154,0.395,0.479,13.7,4,6.3,3.7,16.3,1,1.67,2.67,7,96.1,92
,Austin Rivers,Hou,G,27.24,3,14.5,30.2,15.6,0,5,0.6,5,0.6,10,0.2,0.4,0.436,5,1.7,5.7,0,0,0,0,0,0,93.8,95.7
,Glenn Robinson III,Gol,F,25.81,3,27.3,56.9,16.1,5.8,6,0.833,22,0.455,8,0.125,0.383,0.429,9.3,6.7,12.9,1.3,7,1,0.33,0.67,6.3,103.8,116.6
,Duncan Robinson,Mia,F,25.52,4,17.7,36.9,14.3,7.9,1,1,6,0.667,17,0.471,0.696,0.704,8.3,1,3.1,0.5,4.4,0.25,0.75,0.5,3.6,126.2,95.3
,Jerome Robinson,Lac,G,22.69,3,1.8,3.8,23.3,0,0,0,2,0,1,1,0.5,0.5,1,0.7,20.6,0,0,0,0,0,0,,
,Justin Robinson,Was,G,22.05,1,0.6,1.3,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Mitchell Robinson,Nyk,C-F,21.58,3,18.3,38.1,19.8,14.8,7,0.714,20,0.7,0,0,0.7,0.715,11,7.3,20.4,0.3,3.4,1.33,2,1.33,6.3,130,84.5
,Derrick Rose,Det,G,31.07,4,26.2,54.5,36.7,19.3,16,0.938,62,0.548,2,0.5,0.555,0.605,21.5,2,4.5,5.3,42.9,0.75,0.5,4.25,9.3,107.2,107.2
,Terrence Ross,Orl,G-F,28.73,3,22.3,46.5,25.6,12.3,8,0.875,11,0.455,21,0.19,0.344,0.408,9.7,4,8.7,0.7,5,1,0,1.67,5.4,76.4,96.2
,Terry Rozier,Cha,G,25.62,4,28.6,59.5,23.5,21.8,7,1,23,0.435,24,0.375,0.5,0.539,13.5,3.5,6.6,5.5,30.6,0.75,0.25,3.5,8.9,98.8,108.5
,Ricky Rubio,Pho,G,29.03,3,31.1,64.9,20.9,24.1,15,0.8,24,0.375,4,0,0.321,0.434,10,8,13.7,9.3,42.2,2.33,0,3.67,11.7,95.7,83.5
,D'Angelo Russell,Gol,G,23.68,3,29.8,62,24.5,10.5,10,0.7,27,0.407,20,0.35,0.457,0.486,16.7,2.7,4.7,6,31.9,0,0,2,8.7,105.3,119.1
,Domantas Sabonis,Ind,F-C,23.49,3,35.7,74.4,24,13.5,12,0.917,43,0.558,3,0.333,0.554,0.605,20.7,10.7,16.9,1.7,7.9,0.67,0,2.67,8.1,112.5,102.5
,Dario Saric,Pho,F,25.56,4,27,56.2,14.1,11.3,8,0.625,14,0.429,14,0.357,0.482,0.508,8,5.8,11.4,2,10.5,0.75,0.25,1,6.7,101,94.8
,Tomas Satoransky,Chi,G,28,4,24.9,51.8,12,10.3,5,1,15,0.333,9,0.222,0.333,0.401,5.3,2,3.9,3.5,19.3,1.5,0.5,0.75,5.4,100.7,106.6
,Admiral Schofield,Was,G-F,22.59,3,11.5,24,7,0,2,1,1,1,4,0.25,0.5,0.595,2.3,2,8.8,0.3,3.6,0,0,0,3.9,140.5,107.2
,Dennis Schroder,Okc,G,26.12,4,28.8,59.9,22.5,17.9,8,0.75,31,0.516,16,0.375,0.532,0.554,14,5.8,10.3,5,29.5,1.5,0.25,2.75,10.3,106.2,88.5
,Mike Scott,Phi,F,31.29,3,15.9,33.2,14.8,0,4,1,5,0.4,11,0.455,0.594,0.648,7.7,3.3,11.2,0.7,6.3,0,0,0,6.6,139.6,91.1
,Thabo Sefolosha,Hou,F-G,35.49,3,11.6,24.1,7.9,14.3,0,0,2,0,4,0,0,0,0,4.3,18.7,1.3,14.4,0.67,0,0.33,0,58.3,102.5
,Collin Sexton,Cle,G,20.82,3,30.2,62.9,25.9,12.6,10,0.7,28,0.429,16,0.438,0.511,0.537,17.3,3.3,5.7,2,10.9,0,0,2.33,6.4,101.7,106
,Landry Shamet,Lac,G,22.63,4,32.8,68.4,11.8,11,3,1,8,0.5,23,0.435,0.613,0.634,10.3,1.8,3,2.8,10.6,0.25,0.25,1,4.5,120.7,108.2
,Pascal Siakam,Tor,F,25.58,4,34.5,71.8,32.1,15,26,0.962,58,0.5,21,0.429,0.538,0.608,27.5,10.3,14.1,3.5,20.9,0.25,0.25,4,11.6,112,85.7
,Chris Silva,Mia,F,23.11,4,9.2,19.2,13.8,47,4,1,5,0.8,0,0,0.8,0.888,3,3.5,20.8,0.5,7.7,0.5,1.25,1.5,7.6,117.3,72.6
,Ben Simmons,Phi,F,23.28,3,36,75,21.8,22,14,0.429,40,0.55,0,0,0.55,0.542,16.7,6,8.9,8.3,38.5,2.67,0.33,4.33,10.4,101.4,88.2
,Anfernee Simons,Por,G,20.39,4,17.4,36.2,20.8,20.1,2,0.5,16,0.625,11,0.364,0.593,0.592,8.3,1,3,0.3,2.2,1,0,1.75,3.1,93.3,104.8
,Marcus Smart,Bos,G,25.65,3,29.6,61.6,13.6,6.6,3,1,8,0.5,19,0.263,0.426,0.459,8.7,3.7,5.8,5,23.8,0.67,0.67,0.67,7.4,112.6,100.7
